card_uid,id,name,faction,rarity,cost,type,attack,life,keywords,rules_text,archetype_tag,prototype_priority,set_code,set_number,is_legendary,is_token,max_copies_per_deck,status,version,designer_notes
1001,CT01,Gutter Thrall,Crimson Thrones,Common,1,Champion,1.0,2.0,,"When this dies, each player loses 1 life.",GL,P1,TCGTAKE1-CORE,1,False,False,4,prototype,0.1,
1002,CT02,Willing Vessel,Crimson Thrones,Common,2,Champion,2.0,1.0,,"When this dies, draw a card, then discard a card.",A2,P1,TCGTAKE1-CORE,2,False,False,4,prototype,0.1,
1003,CT03,Velvet Courtier,Crimson Thrones,Common,2,Champion,2.0,3.0,,"When you gain life, this gets +1 attack this turn.",GL,P1,TCGTAKE1-CORE,3,False,False,4,prototype,0.1,
1004,CT04,Taste for Blood,Crimson Thrones,Common,2,Decree,,,,Deal 1 damage to a unit. Gain 1 life.,A1,P1,TCGTAKE1-CORE,4,False,False,4,prototype,0.1,
1005,CT05,Crimson Supplicant,Crimson Thrones,Common,3,Champion,2.0,4.0,Drain,Drain.,A1,P1,TCGTAKE1-CORE,5,False,False,4,prototype,0.1,
1006,CT06,Feast-Hall Butcher,Crimson Thrones,Common,3,Champion,3.0,2.0,,"When an ally dies, this gets +1/+0 this turn.",A2,P1,TCGTAKE1-CORE,6,False,False,4,prototype,0.1,
1007,CT07,Restless Noble,Crimson Thrones,Common,3,Champion,3.0,3.0,Recall 1,Recall 1.,GL,P2,TCGTAKE1-CORE,7,False,False,4,prototype,0.1,
1008,CT08,Blood Bargain,Crimson Thrones,Common,4,Decree,,,,Sacrifice an ally. Draw 2 cards.,GL,P1,TCGTAKE1-CORE,8,False,False,4,prototype,0.1,
1009,CT09,Banquet Duelist,Crimson Thrones,Common,4,Champion,4.0,4.0,,"When you gain life, this gets +1/+1 this turn.",A1,P2,TCGTAKE1-CORE,9,False,False,4,prototype,0.1,
1010,CT10,Chalice of Ashen Wine,Crimson Thrones,Common,6,Relic,,,,"Once each turn, when a unit dies, gain 1 life.",GL,P2,TCGTAKE1-CORE,10,False,False,4,prototype,0.1,
1011,CT11,Open Vein,Crimson Thrones,Uncommon,1,Decree,,,,Sacrifice an ally. Draw a card.,A2,P1,TCGTAKE1-CORE,11,False,False,3,prototype,0.1,
1012,CT12,Ruby Funeral Cup,Crimson Thrones,Uncommon,2,Relic,,,,Your Drain effects heal 1 extra.,GL,P2,TCGTAKE1-CORE,12,False,False,3,prototype,0.1,
1013,CT13,Funeral Bell Omen,Crimson Thrones,Uncommon,3,Omen,,,,"Omen — When an ally dies, deal 2 damage to the enemy leader.",A2,P2,TCGTAKE1-CORE,13,False,False,3,prototype,0.1,
1014,CT14,Bloodcount Heir,Crimson Thrones,Uncommon,4,Champion,4.0,5.0,,"The first time you gain life each turn, draw a card.",A1,P2,TCGTAKE1-CORE,14,False,False,3,prototype,0.1,
1015,CT15,Hall of Red Masks,Crimson Thrones,Uncommon,5,Domain,,,,The first ally that dies each turn returns to your hand at end of turn.,GL,P3,TCGTAKE1-CORE,15,False,False,3,prototype,0.1,
1016,CT16,Grave Feast Hound,Crimson Thrones,Uncommon,6,Champion,5.0,5.0,,"When this is played, return a 2-cost ally from your discard to your hand.",A2,P2,TCGTAKE1-CORE,16,False,False,3,prototype,0.1,
1017,CT17,First-Bite Aristocrat,Crimson Thrones,Rare,1,Champion,2.0,1.0,,"When this dies, create a 1/1 Thrall.",A2,P1,TCGTAKE1-CORE,17,False,False,2,prototype,0.1,
1018,CT18,Moonlit Host,Crimson Thrones,Rare,2,Champion,2.0,3.0,,Allies you play with cost 1 or less get +1 life.,GL,P2,TCGTAKE1-CORE,18,False,False,2,prototype,0.1,
1019,CT19,Scarlet Accounting,Crimson Thrones,Rare,3,Decree,,,,"Drain 2. If a unit died this turn, draw a card.",A1,P1,TCGTAKE1-CORE,19,False,False,2,prototype,0.1,
1020,CT20,Lady of the Last Toast,Crimson Thrones,Rare,5,Champion,4.0,6.0,,"Whenever you gain life, the enemy leader loses 1 life.",A1,P2,TCGTAKE1-CORE,20,False,False,2,prototype,0.1,
1021,CT21,Supper Unending,Crimson Thrones,Rare,5,Omen,,,,"Omen — At end of your turn, if an ally died this turn, return that ally to play with 1 life.",A2,P3,TCGTAKE1-CORE,21,False,False,2,prototype,0.1,
1022,CT22,Sepulcher Ballroom,Crimson Thrones,Rare,7,Domain,,,,"Once each turn, when you sacrifice an ally, create a 2/2 Revenant.",GL,P3,TCGTAKE1-CORE,22,False,False,2,prototype,0.1,
1023,CT23,Count Serevan,Crimson Thrones,Renowned,3,Champion,3.0,5.0,Drain,Drain. Other allies with Drain get +1 attack.,GL,P2,TCGTAKE1-CORE,23,True,False,1,prototype,0.1,
